date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:51	1827/1827	---M--	200	added ('OK')	application/javascript	etag:%22654499dc-723%22	https://sleepyjoes.co.uk/web/app/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=1.0.0	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/themes/hello-elementor/assets/js/hello-frontend.min8a54.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:52	6446/6446	---M--	200	added ('OK')	application/javascript	etag:%2265449983-192e%22	https://sleepyjoes.co.uk/web/app/plugins/powerpack-elements/assets/js/min/frontend-offcanvas-content.min.js?ver=2.10.1	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/powerpack-elements/assets/js/min/frontend-offcanvas-content.min3894.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:52	25202/25202	---M--	200	added ('OK')	application/javascript	etag:%2265449946-6272%22	https://sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.0.1	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.minf269.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:52	5629/5629	---M--	200	added ('OK')	application/javascript	etag:%2265449a15-15fd%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/imagesloaded.min.js?ver=4.1.4	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/imagesloaded.mineda1.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:52	5740/5740	---M--	200	added ('OK')	application/javascript	etag:%2265449945-166c%22	https://sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.16.2	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/js/webpack-pro.runtime.min6b60.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:52	4997/4997	---M--	200	added ('OK')	application/javascript	etag:%226544992e-1385%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.16.4	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/js/webpack.runtime.minafc7.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:53	58860/58860	---M--	200	added ('OK')	application/javascript	etag:%226544992c-e5ec%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.16.4	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/js/frontend-modules.minafc7.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:53	8171/8171	---M--	200	added ('OK')	application/javascript	etag:%2265449a19-1feb%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:53	6607/6607	---M--	200	added ('OK')	application/javascript	etag:%2265449a18-19cf%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/dist/vendor/regenerator-runtime.min8fa4.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:53	16146/16146	---M--	200	added ('OK')	application/javascript	etag:%2265449a19-3f12%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:54	4627/4627	---M--	200	added ('OK')	application/javascript	etag:%2265449a17-1213%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/dist/hooks.min.js?ver=c6aec9a8d4e5a5d543a1	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/dist/hooks.min2ebd.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:54	9445/9445	---M--	200	added ('OK')	application/javascript	etag:%2265449a17-24e5%22	https://sleepyjoes.co.uk/web/wp/wp-includes/js/dist/i18n.min.js?ver=7701b0c3857f914212ef	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/wp/wp-includes/js/dist/i18n.minf92f.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:54	24674/24674	---M--	200	added ('OK')	application/javascript	etag:%2265449943-6062%22	https://sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.16.2	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor-pro/assets/js/frontend.min6b60.js	(from https://sleepyjoes.co.uk/apartments/)
00:07:54	12198/12198	---M--	200	added ('OK')	application/javascript	etag:%2265449932-2fa6%22	https://sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/My%20Web%20Sites/sleepy%20joe/sleepyjoes.co.uk/web/app/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://sleepyjoes.co.uk/apartments/)
